Tracker_id,File_name,Youtube_id,Num_person,Song_name,Style,Occlusion,Lose_of_tracking,Num_frames,Num_bboxes,Original_title
,01_ZhuDSdmby8k.mp4,ZhuDSdmby8k,5,Rollin,K-POP,,,,,"브레이브걸스 (Brave Girls) - 롤린 (Rollin') Dance Practice Video (사복 ver.)"
,02_FvfBGRSycQQ.mp4,FvfBGRSycQQ,7,Stupid Liar,K-POP,,,,,"[Wa$$up] Stupid Liar 안무영상"
,03_T4vr8mA4hoY.mp4,T4vr8mA4hoY,5,Full moon shine,K-POP,,,,,달빛소나타 안무 연습 영상 - 빅스타 / Full moon shine Dance Practice - BIGSTAR
,04_v2l473JQhqk.mp4,v2l473JQhqk,5,Tension up,K-POP,,,,,임팩트[IMFACT] 텐션업(Tension up) 안무영상(Dance Practice)
,06_Js76pyw4UDk.mp4,Js76pyw4UDk,3,Tiger shroff,,,,,,Tiger shroff- Sunday Timepass ||Saki saki song (Dance practice || maxinstatv
,07_O0Y5ewoMOjU.mp4,O0Y5ewoMOjU,3,Flash Back,Choreography,,,,,"展榮展瑞 / 閃退 Flash Back / 舞蹈編舞 Yuchi Lee"
,08_LuidpS7an4w.mp4,LuidpS7an4w,5,Akwaaba,,,,,,Akwaaba - GuiltyBeatz x Mr Eazi x Patapaa X Pappy Kojo _ YODA AFROBEATS CHOREOGRAPHY
,09_ON6GQ7lUZBM.mp4,ON6GQ7lUZBM,3,ASTRODISCO,Locking,,,,,ASTRODISCO(FUNKANOMICS RMX) -  WARP9 _ HAMONG LOCKING
,11_0wWUeDP0s3s.mp4,0wWUeDP0s3s,8,,ZUMBA,,,,,BENKI BOOM DANCE WORKOUT (ZUMBA)
,12_FTSl3VWnCaU.mp4,FTSl3VWnCaU,4,GO GET HER,K-POP,,,,,"BRANDNEWZ (김시훈, 홍성준, 윤정환, 이은상) 'GO GET HER' DANCE PRACTICE"
,13_qz2311gT1y4.mp4,qz2311gT1y4,5,DRUG,Choreography,,,,,CHANY CHOREOGRAPHY | DRUG - 이바다 LEEBADA
,14_3iNoS5utYL4.mp4,3iNoS5utYL4,3,Dilemma,Popping,,,,,Dilemma (Miiiiito POPPING REMIX) _ SUHYEON Girls Hip Hop Class
,15_A0mfE8pBLqg.mp4,A0mfE8pBLqg,5,,ZUMBA,,,,,FireHouse _ Zumba Fitness _ Daddy Yankee
,16_9xzijWeTVUU.mp4,9xzijWeTVUU,9,Im Fine,K-POP,,,,,Grace- Im Fine Dance Practice 아임파인 안무연습
,18_N64zW8iDe9I.mp4,N64zW8iDe9I,5,Little Scarlet Bad Girl,J-POP,,,,,Little Scarlet Bad Girl [弾丸論破コスプレで 踊ってみた]
,19_EFVCxU49bWM.mp4,EFVCxU49bWM,7,Breakfast,Hip hop,,,,,Little Simz - Breakfast _ SONJU Hip Hop Class
,20_t463QgtOo-c.mp4,t463QgtOo-c,7,SPOTLIGHT,K-POP,,,,,"PUNCH x SILENTO - SPOTLIGHT Dance Practice Video / 펀치 x 사일렌토 - 스포트라이트 안무 연습 영상"
,21_E--IWzJznxo.mp4,E--IWzJznxo,4,,ZUMBA,,,,,Quăng Tao Cây Boong (Huỳnh James x Pjnboys) _ Zumba Dace Workout _ Zumba Fitness Vietnam_ Lamita
,22_2VXNmordDVI.mp4,2VXNmordDVI,7,RAINISM,Choreogaphy,,,,,"RAIN(비) - RAINISM [DANCE PRACTICE + MIRRORED]"
,23_Nrj7gbVXIgw.mp4,Nrj7gbVXIgw,4,,Locking,,,,,ROXIE LOCKING CLASS [HODANCE]
,24_5uKZrONvOVo.mp4,5uKZrONvOVo,8,,,,,,,Summer Camp-Street Dance School - Part 3_1 - Startaed 7 rings
,25_B3syPoisQMU.mp4,B3syPoisQMU,8,,,,,,,Summer Camp-Street Dance School - Part 3_3 - Startaed 7 rings
,28_geCuvmxY2ms.mp4,geCuvmxY2ms,7,Deepened,K-POP,,,,,"브레이브걸스 - 변했어 사복 안무영상 / Brave Girls - Deepened Dance Practice Video"
,30_1hl-3HrwMw4.mp4,1hl-3HrwMw4,4,,J-POP,,,,,恋を歌って踊ってみた！！【一つ足りないホワイトボード】
,31_UDJPTG5IQVM.mp4,UDJPTG5IQVM,5,Do Things Right,Choreography,,,,,柯文哲 feat. 春艷  怪怪的 最潮舞蹈【Do Things Right (對的事)】#柯文哲 #春艷 #TRAP #怪怪的-UDJPTG5IQVM
,32_T8Q07fcsVwA.mp4,T8Q07fcsVwA,7,Superfly,K-POP,,,,,"[24K(투포케이)] 4집 날라리(Superfly) 안무 영상 (사복ver.)"
,33_PKYkZ-rhg5o.mp4,PKYkZ-rhg5o,7,Superfly,K-POP,,,,,[24K(투포케이)] 4집 날라리(Superfly) 안무 영상 (학교ver.)
,35_trftzcE6kXA.mp4,6D9wMWs4pks,4,K_DA,K-POP,,,,,[MIRROR] K_DA - POP_STARS (Dance Practice) _ League of Legends
,36_3yt0oDhW6uM.mp4,3yt0oDhW6uM,7,Whoo,Choreography,,,,,"[Rainbow(레인보우)] 'Whoo' 안무 연습 영상(Choreography)"
,37_vm--8m-dKvE.mp4,vm--8m-dKvE,5,Be my love,K-POP,,,,,[Road Boyz(로드보이즈)] 우리 사랑할까? (Be my love Dance Practice)
,38_PuHH5-AN4UY.mp4,PuHH5-AN4UY,3,,J-POP,,,,,【いもむし】 ライアーダンス 【オリジナル振付】
,39_eHKbHoPX9d8.mp4,eHKbHoPX9d8,6,,K-POP,,,,,"[WANNA.B(워너비)] 전체차렷 Dance Performance Ver."
,41_7jRvxkYuYvk.mp4,7jRvxkYuYvk,3,,J-POP,,,,,【つぐみん】ナーヴ・インパルス 歌って踊ってみた